year,liangshi,caizheng,gongzi,renko,gdp
2020,135.14,172.7,83084.1,364.44,3753.02
2019,139.19,110.1,78161.4,377.8,3618.26
2018,139.7,120.32,75763.2,374.8,3278.53
2017,139.87,143.21,72146.4,369.6,3065.52
2016,137.26,157.32,69023.2,375.8,2699.44
2015,140.12,176.83,59785.3,381.6,2457.32
2014,138.43,233.68,54522.2,384.5,2309.55
2013,132.71,213.99,44812,384.5,2099.53
2012,133.7,178.91,47699.9,383.43,1880
2011,142.02,139.97,41946.5,385.36,1658.24
2010,83.54,94.84,36593.7,229.5,1108.59
2009,84.88,69.41,32157.3,230.1,902
2008,83.04,54.39,28053.4,230.79,749.65
2007,75.4,43.91,22964.7,230.46,582.3
2006,80.04,34.15,18972,229.03,479.72
2005,76.47,27.83,16177.4,226.88,400.65
2004,75.95,20.78,14165.5,224.56,345.07
2003,56.57,17.34,11398.2,223.82,284.85
2002,68.04,15.67,9322.16,221.74,245.51
2001,67.75,12.87,8695.41,220.26,218.77
2000,67.67,12.54,8255,218.47,200.58
1999,62.78,11.81,8061,216.4,193.17
1998,74.45,6.84,7492.34,215.1,186.76
1997,63.32,6.32,6192.89,213.95,164.94
1996,61.27,12.84,5550.26,212.59,132.06
1995,61.10 ,10.64,4599.7,211.27,100.88
1994,60.78,8.42,3640.26,209.28,75.09
1993,59.84,6.88,2578.82,207.66,52.79
1992,58.76,5.63,2257.97,206.12,38.36
1991,58.49,5.03,1955.11,204.2,31.52
1990,57.98,5.91,1798.55,202.1,31.86
